Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0301973	152.389	40.3	46.198	132.93	36.53	45.985
FBtr0301974	197.611	36.7	25.802	163.07	26.47	29.015
FBtr0332512	0	0	0	0	0	0
FBtr0331730	60.333	11.938	21.114	22.291	9.494	11.28
FBtr0331731	19.346	6.781	6.22	8.911	8.091	6.623
FBtr0331729	171.498	52.503	23.309	26.994	33.292	23.923
FBtr0345984	37.85	38.286	24.008	51.893	16.957	24.146
FBtr0071222	3123.211	982.804	1137.348	2662.605	845.123	886.024
FBtr0307197	0	0	0	0	0	0
FBtr0299878	0	0	0	0	0	0
FBtr0112645	114.432	41.325	58.14	142.091	65.735	68.402
FBtr0112644	10.568	12.675	12.86	5.909	6.265	11.598
FBtr0089102	27.727	2.497	2.94	16.904	2.641	2.851
FBtr0110906	15.637	2.544	4.124	20.005	2.695	4.178
FBtr0344874	13.119	2.96	2.922	20.201	2.664	2.971
FBtr0083106	2.066	2	1.725	1.368	1.725	1.367
FBtr0083105	2.018	0	1.695	1.35	1.694	1.35
FBtr0346109	3.916	0	1.58	1.282	1.581	1.284
FBtr0085101	4.001	4	1	14.068	1	4.002
FBtr0083974	0	0	0	0	0	0
FBtr0078233	2	1	2	5	2	3
FBtr0081080	2518.491	815.15	853.288	2599.775	748.691	809.104
FBtr0343829	133.509	49.85	65.712	51.225	65.309	49.896
FBtr0083835	668	190	242	761	201	229
FBtr0344013	3243.58	1356.532	1522.772	3621.067	1083.329	1290.903
FBtr0347199	59.239	16.076	6.155	19.433	12.03	14.503
FBtr0083281	203.788	34.176	89.621	161.591	62.646	69.593
FBtr0300816	0.921	1	0.089	0.921	0	0.486
FBtr0345303	2.079	0	1.911	2.079	0	0.514
FBtr0086945	546	188	213	576	126	198
FBtr0339510	0.002	0.004	0.003	1.099	0.006	0.003
FBtr0076156	0.002	0.004	0.003	1.882	0.006	0.003
FBtr0346859	2.261	2.312	2.296	7.733	2.3	2.312
FBtr0079868	3	2	0	1	0	0
