"ID","SRR5285048","SRR5285050","SRR5285052","SRR5285054","SRR5285056","SRR5285058","SRR5285049","SRR5285051","SRR5285053","SRR5285055","SRR5285057","SRR5285059","padj","log2FoldChange","pvalue","foldChange","log10padj"
"ENSMUST00000052431.11",46.7047410224698,49.7077415641854,24.6438649605476,56.9087372217055,47.9517651675495,37.0505380698318,108.900537698326,127.942986591347,75.6905812538596,75.0751048415843,62.4081175099876,92.3315089929082,0.00141838549120506,1.05809618937541,1.92466765263197e-05,2.08218201688307,2.8482057198224
"ENSMUST00000122054.7",16.9652848174766,5.51028955566053,5.58814763506416,26.2223710414761,24.2103094343626,24.9973728537573,143.76612393664,46.820183616016,98.0366388778734,47.0107304715859,30.3459975681365,59.495370880279,0.00446700575830607,2.07312670010303,7.58265457173192e-05,4.20797665275337,2.34998348768958
"ENSMUST00000165420.7",65.4075294044022,9.26072203233293,36.1922018592989,9.25072058993177,2.35222253137441,56.9065096616316,98.8292268133898,189.412362580094,169.307956352632,134.131441477002,218.841732315463,135.079266416499,0.00663456303253983,2.41719688109975,0.000121304387906794,5.34132208074317,2.1781876754832
"ENSMUST00000107405.5",30.5187988780821,1.17468890523083,1.2173782583021,1.16821852309795,22.8838715003684,11.0845817338197,9.1079285236307,86.5234802430805,228.564255360942,175.258543755593,212.961680901926,111.202421862955,0.00555675002761244,3.63347174927107,9.84345615954956e-05,12.410348718887,2.25517913966781
"ENSMUST00000182964.1",19.2817173267067,38.4734203214047,22.952375384322,46.316789158357,9.65248787654344,9.60123421161012,37.799496753256,78.5604272916893,39.3398080765198,78.8557712059002,87.4126530909055,65.9973580047309,0.0361210164027393,1.42437393615138,0.0011376465408258,2.68398002788536,1.44224003765281
"ENSMUST00000114896.7",15.1843750486826,46.1949639961436,17.3650792259844,19.9018744025944,32.7920247040462,29.7564003452309,40.3332354896119,56.8990570979076,72.2793443886963,43.5166387043166,57.8937143437608,62.5569059723937,0.0171517709853891,1.06303967322478,0.000401994632470056,2.08932898019819,1.76569103075399
"ENSMUST00000019101.10",2.94378239215108,15.6201089200538,2.41967232379543,8.98604384527057,11.3587592507152,2.03027726163857,60.3325466687146,31.6052457546905,75.0480652124165,68.6761521657935,76.2497795434862,59.3811624696114,2.92485306349879e-08,3.20321391025358,1.14850251184507e-10,9.21008142003359,7.53389594678336
"ENSMUST00000211107.1",13.0573483954481,44.5837795351172,38.0456666922157,23.96389464161,45.4873875928411,44.4157669599995,77.3745123778195,70.8594330512128,88.4895210746743,60.3382694103788,99.065124154471,80.9103772505004,0.00134552671249969,1.20147868543424,1.7996860069838e-05,2.29975262616993,2.87110767584444
"ENSMUST00000107371.1",8.52464862748699,11.3663269199407,16.3865198323004,22.0482872846524,24.0009151873525,35.6449337691862,16.6373111925652,30.7117515751428,75.3468887894168,53.2266417938826,56.4489023324151,92.3362300769794,0.0463583765548459,1.47976095309813,0.00164780060643656,2.78902516776316,1.33387178119889
"ENSMUST00000194932.5",9.12068836605551,46.2398720290897,38.0886740391003,16.0714658125522,22.2085090491337,31.3714647683775,67.3481390234231,65.8276558114137,89.3407821377915,116.076612651276,66.5978856051195,114.437278540277,0.000273010121343814,1.6809078958852,2.7135740954903e-06,3.20629661561272,3.56382125199849
"ENSMUST00000185234.1",27.3730132075835,16.0857290941749,1.12892003434546,10.7836205729734,16.5363091623233,15.4660619225652,73.1258339339459,79.3717097967653,60.0247808525006,88.4879566414132,59.3455080851521,7.46823832090381,0.025430892975534,2.10376964147034,0.000701365239712763,4.29831031525077,1.5946383898228
"ENSMUST00000110090.7",0,8.44632796630718,8.5495590637341,8.43671934703555,3.09703710551615,23.1452396185186,133.299758447972,146.871504119522,60.9308154390554,8.45861674944216,145.486150051895,34.9142738737481,0.00267895489722616,3.39847764649323,4.06948754210712e-05,10.5449302443391,2.57203459809417
"ENSMUST00000213874.1",6.22599210992931,2.26545423657103,2.31646478049216,2.25872692147166,17.468832480576,5.23365767109906,113.392735960872,174.775132090204,95.4848753714888,73.0958793658003,51.8566765213529,83.0231389570278,4.47676635529518e-11,4.11346914699045,1.20855112667491e-13,17.3092240510932,10.3490355710742
"ENSMUST00000099145.5",52.5349203396189,29.0769443121592,79.9849975401234,34.7438202698764,45.4100736781828,38.7410095129386,179.136546521209,183.976246864472,152.804257091019,163.816512989994,120.303061228592,209.536885645619,2.19689854040373e-11,1.85667773473035,5.21188299015937e-14,3.62172683028031,10.6581899996841
"ENSMUST00000173628.7",44.7984136099203,43.481031575252,49.1315931853235,77.9645958585196,39.9110344390144,22.6453079605262,122.456484290513,71.5001752915721,93.4238370335194,83.3061106167259,73.9989030212117,125.81180428563,0.0108885405527221,1.04575866425471,0.000229813764938016,2.06445169814041,1.96303032707391
"ENSMUST00000072955.11",160.683067180455,122.241203270011,90.9089191013525,77.0582577423994,44.7692994256296,19.0152369461438,242.440323783667,166.877421947169,199.915796849904,234.818065339515,233.374078656044,187.797020175888,0.0315357447355391,1.29781399671423,0.000940345137115839,2.45856073760885,1.50119690842471
"ENSMUST00000202280.3",6.32646631996504,2.13553670088624,16.1905046886545,26.197731439478,13.0395326397572,5.40012394827438,99.8901561089486,136.046458458164,45.5270332196216,98.5365404227291,119.082854135216,44.1067642844747,5.00834385737817e-06,3.00933371961243,3.05236925208339e-08,8.05192491815379,5.3003058614599
