Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0330720	8.01151	1	3	8	1	5
FBtr0079449	0	0	0	0	0	0
FBtr0080575	154.176	68.7829	61.2351	164.257	27.8418	51.5395
FBtr0343661	0.93685	0	0	0	0	0
FBtr0329825	18.6809	11.0361	11.9261	0	32.4201	10.2367
FBtr0080984	422	142	175	419	113	165
FBtr0091878	0.331689	9.30001e-8	1.73579	0.018923	1.70713	1.36839
FBtr0077212	27	4	14	16	9	11
FBtr0074400	4	1	1	3	1	0
FBtr0346194	0	0	0	0	0	0
FBtr0076700	0	0	1	0	0	0
FBtr0084630	661.228	281.768	248.606	224.081	194.491	106.757
FBtr0084631	46.3884	0	0	513.498	0	24.4484
FBtr0273282	1617.5	870.881	969.262	2094.62	1053.66	1053.43
FBtr0334603	134.285	10.8109	8.35626	38.4861	12.4494	8.59039
FBtr0273283	46.8788	0	0	18.3403	0	0
FBtr0334602	53.5421	18.6296	52.2978	101.921	53.2597	51.461
FBtr0334601	19.1723	5.05526	11.4783	9.56713	8.14403	4.31508
FBtr0340145	5.08272	0	0	0	0	0
FBtr0070080	1.91728	5	2	3	5	0
FBtr0075961	760.24	274.518	325	595.951	171	271
FBtr0333677	113.172	0	10.4756	601.471	13.1685	10.6786
FBtr0308248	127.488	37.0965	37.5921	69.1517	19.0829	46.6817
FBtr0089153	947.34	129.904	132.932	373.378	114.749	134.64
FBtr0084149	0	0	0	0	0	0
FBtr0076091	0	0	0	0	0	0
FBtr0333610	478.267	179	204	423.351	146	149
FBtr0075346	28.6713	0	0	8.20714	0	0
FBtr0305618	416.83	120.259	116.599	988.712	244.007	138.557
FBtr0077910	225.78	187.927	223.924	534.345	324.993	394.108
FBtr0306167	230.39	20.8138	25.4779	156.944	0	38.3343
FBtr0080963	0	0	0	0	0	1
FBtr0072805	99013	48368	53863	134709	50189	56746
FBtr0080387	0	4.51121	4.24959	16.3693	4.15969	0
FBtr0345613	16.5753	0	0	0	0	4.29516
FBtr0076649	359.748	245.624	266.391	507.77	224.443	253.794
FBtr0333114	30.9671	0	5.27586e-4	177.625	0	69.206
FBtr0330166	396.285	92.376	67.6085	87.6047	44.5566	4.91838e-7
FBtr0088228	1821	810	963	2430	768	968
FBtr0077580	9	7	1	10	9	3
FBtr0334113	77.1016	29.6065	107.779	48.1885	59.0153	9.88941
FBtr0078481	40082.9	18975.4	20653.2	48456.8	17473	21406.1
FBtr0074806	11.03	9	13	15.0187	15	11.0395
FBtr0304060	2375	981	989	3027.99	1118	978
FBtr0083967	129	52	65	852	252	287
FBtr0308889	7.84958	0	0	7.9383	0	7.72911
FBtr0081915	5278.72	2181.54	2601.15	5114.91	1695.36	1901.85
FBtr0091904	0.331689	9.30001e-8	1.73579	0.018923	1.70713	1.36839
FBtr0070069	1	1	1	0	0	1
FBtr0091684	6	3	7	10	7	8
FBtr0083228	129.407	65.4484	83.4509	58.6622	21.6805	2.30919e-6
FBtr0344470	350.409	150.824	249.606	1725.65	252.381	239.699
FBtr0083226	129.407	65.4484	83.4509	58.6622	21.6805	2.30919e-6
FBtr0083227	2942.5	951.838	968.383	2702.42	1096.77	1104.75
FBtr0344717	404.209	89.441	77.1083	464.84	97.4919	93.5545
FBtr0073328	0	0	0	0	0	0
FBtr0078501	3	1	0	4	2	0
FBtr0303780	1.49055e-5	29.7347	27.645	24.2705	0	10.4573
FBtr0344843	333.354	87.271	116.488	318.791	107.229	104.379
FBtr0303779	154.882	37.9255	56.5223	136.242	24.9075	27.5548
FBtr0081277	2.11698e-5	0	0	2.82173	0	7.52159
FBtr0081278	44.1	0	9.03326e-6	0	18.696	0
FBtr0340267	14.1703	4.78072	0	14.1704	0	5.15044
FBtr0070985	199.464	95.2193	95.5399	1529.22	514.778	466.845
FBtr0070986	1.85317	0	0	25.8019	0	0
FBtr0340266	0	0	0	0	0	0
FBtr0340265	0	0	0	0	0	0
FBtr0340268	52.4118	0	18.9534	53.2288	15.2221	27.628
FBtr0070984	35.0321	0	0	5.61363	0	0
FBtr0336460	2077.95	796.329	848.536	3032.99	870.139	1005.27
FBtr0080030	5699.23	2029.57	2248.57	5112.24	1695.57	1926.79
FBtr0080031	53.7664	105.432	45.4257	131.759	39.4318	60.2121
FBtr0332933	13.0023	2.24411	3.27192	30.8921	0	2.78251
FBtr0332932	12.979	4.33664	0	17.2996	18.0952	4.33765
FBtr0344828	21.1287	3.5166	5.07265	54.3992	0	4.43071
FBtr0082766	26.1875	0	0	0	0	0
FBtr0335460	0	17.0011	3.64736e-6	0	2.43172e-7	0
FBtr0082767	53.9881	8.53527	12.1772	26.1182	0.882374	10.4853
FBtr0082769	1.16422e-6	0	2.04344	0	0.767541	0
FBtr0082765	0	0	0	8.58498	0	0
