Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBgn0050091	2	0	1	2	0	0
FBgn0033260	2740	883	960	2768	807	820
FBgn0283427	135309	61308	62119	115645	45516	42318
FBgn0033740	1077	309	338	902	235	304
FBgn0011725	1505.69	565.173	626.945	1499.17	563	554.897
FBgn0034377	6	1	3	8	4	0
FBgn0284248	7283.79	3081	3571	9043.84	2530	3340
FBgn0040674	0	0	0	0	0	1.53831
FBgn0266434	5.50232	5	1	9.00354	3	0.5
FBgn0036323	1	0	0	1	0	0
FBgn0038260	87	28	38	113	49	45
FBgn0034617	507.093	194	190	447.614	130	119
FBgn0262018	1.00054	1	0	1	2	2
FBgn0031873	330	130	128	357	71	110
FBgn0032366	1	0	0	1	0	0
FBgn0035241	80.133	24.0183	27.042	120.023	42.0229	35
FBgn0260049	6028	2728	3151	5645	2155	2317
FBgn0267875	0	0	0	4.14311	0	0
FBgn0003870	2769.61	1004.95	1051	3600.56	1116	1103
FBgn0053061	0	1	1	1	1	0
FBgn0041181	3	0	1	3	0	2
FBgn0039778	0	1	0	0	0	0
FBgn0014455	5401.24	2771.56	3104	5607.47	2231.75	2639.78
FBgn0030462	1	0	0	3	0	2
FBgn0051832	11	3	0	0	0	1
FBgn0000259	5122.28	1302.42	1524	5824.05	1160.67	1314.19
FBgn0261581	0	1	0	1	0	0
FBgn0039271	260	54	48	217	43	58
FBgn0031463	0	0	0	1	0	0
FBgn0014006	2835.99	1090	1280	2830	991	941
FBgn0037150	493	114	171	499	122	141
FBgn0030294	736	162	164	594	160	181
FBgn0036039	537.087	210	242.896	597.136	192.958	201
FBgn0029676	3561.38	956.583	1161.37	2635.1	784.775	762.64
FBgn0037475	2	0	0	1	0	0
FBgn0053886	0.331689	9.30001e-8	1.73579	0.018923	1.70713	1.36839
FBgn0052076	705	311	333	618	248	294
FBgn0064126	1252.87	502.196	599.543	1174.06	343.369	429.13
FBgn0039115	301.391	128.766	126.535	295.999	95.7245	108.436
FBgn0010356	804	325	399	794	307	305
FBgn0051100	8	3	2	5	2	2
FBgn0263249	0	0	0	0	0	0
FBgn0039635	2809.99	1434	1637	3326	1279	1516
FBgn0050010	65	16	20	42	22	17
FBgn0034495	415.807	171.965	177	360.211	149.469	160.466
FBgn0005617	2403	828	921	3213.8	909	920
FBgn0030703	4024	1086	1242	4136	1069	1259
FBgn0036574	1483.3	510.756	522.677	1795.74	453.938	531.944
FBgn0038742	1664	691	898	1692	576	727
FBgn0003162	199	74	76	168	52	58
FBgn0046999	1	0	1	4	1	0
FBgn0037345	385.391	86	107	296.608	67	76
FBgn0037050	297.862	92.2075	125	405.312	108	103
FBgn0029783	149	66	73	187	52	84
FBgn0261269	581	148	165	428	109	114
FBgn0264270	2932.08	760	878	2394.21	680.955	614
FBgn0259822	33.3798	2	2.00422	57.5655	4.02739	4.01189
FBgn0034035	853	313	367	871	251	326
FBgn0039270	185	66	78	262	67	76
FBgn0031626	0	0	0	0	0	0
FBgn0051324	2249.2	800.619	838.819	1581.3	572.936	569.573
FBgn0260858	1307.89	442	583	1649.98	409	519
FBgn0031874	288.663	78	80	234.817	68	95
FBgn0262719	36.0137	20	20.0084	39	30.0288	23
FBgn0082831	3940.99	1623	1811	4438.09	1426.16	1352.08
FBgn0259239	23	6	3	5.00166	8	2
FBgn0036146	45	18	23.9731	42.096	23	19
FBgn0035073	1081.12	415.625	435.515	857.583	298.478	294
FBgn0020371	0	0	0	0	0	0
FBgn0032845	212.278	73.2092	67	217	60	97
FBgn0283651	103.165	36.021	25	90.7359	43.0051	42.0047
FBgn0267824	1779.13	679	733	2691.12	911	927
FBgn0069973	231	94	104	272	108	116
FBgn0036301	569.76	178.482	237	668.049	180	239
FBgn0265048	14088	6090	6559	20979	6561	7041
FBgn0261057	0	0	0	0	0	0
FBgn0052564	0	0	1	0	1	0
FBgn0030797	581.599	190.581	221.245	745	216.177	210.005
FBgn0001296	94	50	71	131.001	59	50.0001
FBgn0259972	7.19168	0	2.65911	4	2	0
FBgn0053986	0	0	0	0	0	0
FBgn0032435	10	2	2	7	2	2
FBgn0033905	430	154	175	419	116	134
FBgn0029539	0	0	0	0	0	0
FBgn0030502	4871.79	1657	1812.23	5571.93	1971	1800
FBgn0032554	2.0023	0	0	4.00789	0	0
FBgn0036410	37	12	9	44	14	8
FBgn0025390	507.343	197.251	197.147	426.768	103.493	117.789
FBgn0038394	15.2037	5	8.11116	12.049	2	5.06525
FBgn0029715	1424	483	556	1704	477	466
FBgn0034911	24	12	10	15	8	5
FBgn0263982	0.500851	0	0.5	1.00289	0.5	0.5
FBgn0026063	213.876	70.5	95.7554	345.267	112.219	88.5
FBgn0032375	6	1	1	7	1	1
FBgn0035421	601	258	287	538	194	207
FBgn0053899	2.69853	0	0	0	0	0
FBgn0033665	413	132	156	456	145	161
FBgn0085380	1	0	0	0	0	0
FBgn0053846	8.62862	4.20011	5.9069	9.55989	5.90535	5.35233
FBgn0037493	0	0	0	0	0	0
FBgn0053701	0	0	0	0	0	0
FBgn0032189	372	98	105	340	106	132
FBgn0033726	0	0	0	0	0	0
FBgn0037526	390.378	119.513	134.84	319.524	115.705	123.841
FBgn0028902	9	4	4	10	3	2
FBgn0050289	1	1	1	1	1	1
FBgn0038131	3.74683	0	0	2.52076	0.352497	0
FBgn0004910	9.62105	0	2	8.00649	1	2
FBgn0037715	408	159	149	477	143	190
FBgn0038151	1	0	0	0	0	0
FBgn0005391	2	4	1	3	3	0
FBgn0265416	47.6349	2.00116	2	65.3187	6.00326	6.014
FBgn0033115	421	139	172	305	95	115
FBgn0029587	84.4053	27.9964	37.6357	64.017	29.1568	29.9195
FBgn0034300	1618.46	559	601.001	1868.12	483.999	484
FBgn0265464	362.256	132	151	378.295	133.161	98
FBgn0036112	0	0	0	1	0	0
FBgn0262730	6260.36	1724.83	1848.79	5485.87	1450.25	1292.36
FBgn0262512	999	360	379	1017	273	312
FBgn0015279	4670	1901	2117	4782	1651	1763.99
FBgn0039831	4254.85	1345.61	1577.94	5090.29	1432.99	1384.1
FBgn0261673	263	91	100	24	13	8
FBgn0026570	1106	399	434	1095	331	335
FBgn0031574	417	167	238	425	163.999	175
FBgn0036761	1696.15	648	742	1962.51	618	668
FBgn0085385	71.6083	0	0	45.7207	0	0
FBgn0027296	390	150	162	425	161	133
FBgn0033259	1798	636	710	1930	647	701
FBgn0033616	350.98	129	144	421.205	131.991	150
FBgn0030224	34.2442	1	0	31.0754	0	0
FBgn0016685	5674.61	1991	2320	5787.69	1678	1871
FBgn0003888	12589.9	6391.18	7460.59	10254.1	3922.56	4180.41
FBgn0025381	11134	5430.47	6077.48	12367.6	4882.42	5280.76
FBgn0052667	8	2	3	5	3	2
FBgn0031771	2833.54	1217.96	1521.97	3646.89	1285	1548
FBgn0042133	133	35	41	117	33	53
FBgn0028546	1698.01	596	679	1404	450	597
FBgn0037620	72	19	19	69	20	12
FBgn0086710	16192.7	6802	8192	18418	6116	8851
FBgn0000046	128.711	25.0506	17.5008	78.5805	11.0361	13.5709
FBgn0034568	27	7	14	19	5	5
FBgn0035464	2251	853	941	1814	690	736
FBgn0032331	8	2	3	12	8	3
FBgn0261380	725	198	258	730	214	230
FBgn0039196	0	0	0	1	0	0
FBgn0051683	292.224	26.9608	62.469	360.463	31.6813	0
FBgn0011754	1547.6	520.437	706.594	1280.24	387.669	405
FBgn0003250	5	1	1	5	1	2
FBgn0028872	1	0	0	0	0	0
FBgn0003975	20	7	4	18	5	2
FBgn0039958	2262.12	467.259	472.554	1572.41	400.84	445.329
FBgn0034201	2	0	1	4	3	0
FBgn0032390	870.023	311	383	781.622	222	291.156
FBgn0031144	1569	544	713	1652	514	509
