Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0070392	126	42	53	305	145	172	74	71	84	179	225	239	145.17	76	214	2.809	1.49	0.000506157360013884	0.0225391178732555	0.1172	0.1571
FBtr0303750	485	164	155	2224	314	350	284	277	245	1307	487	485	514.19	269	760	2.833	1.503	0.000506151737406369	0.0225391178732555	0.1263	0.1038
FBtr0335475	860	133	63	3438	406	452	504	225	99	2021	630	627	684.18	276	1093	3.943	1.979	0.000507585374197229	0.0225391178732555	0.2156	0.0955
FBtr0089626	8	4	5	45	11	18	5	7	8	26	17	25	14.63	7	23	3.759	1.91	0.000513159681447221	0.0226892602856183	0.112	0.153
FBtr0337016	30	8	8	113	48	19	18	14	13	66	74	26	35.15	15	55	3.737	1.902	0.000550603137030416	0.0242251851960778	0.1659	0.1742
FBtr0112706	640	333	307	1154	733	1271	375	562	484	678	1137	1763	833.2	474	1193	2.518	1.332	0.000559907802708221	0.0245141051909441	0.1021	0.0915
FBtr0082057	27	16	9	76	52	51	16	27	14	45	81	71	42.18	19	66	3.453	1.788	0.000577831307335318	0.0250538140931078	0.148	0.1765
FBtr0081257	23	1	11	84	27	27	13	2	17	49	42	37	26.87	11	43	3.804	1.928	0.000579347401334528	0.0250588741925058	0.1621	0.1688
FBtr0300649	98	34	56	295	166	122	57	57	88	173	257	169	133.86	67	200	2.958	1.564	0.000598371877982736	0.0258193860699683	0.1322	0.1602
FBtr0301851	1447	466	475	2104	1214	1344	848	787	749	1237	1882	1864	1227.86	795	1661	2.088	1.062	0.000605192183955226	0.0259884327052428	0.0665	0.0867
FBtr0082528	21	6	6	90	20	20	12	10	9	53	31	28	23.93	10	37	3.464	1.793	0.000662400132344842	0.0280169512079955	0.1352	0.1664
