Pixel,Ladder,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c
226,7.500006181,81,87,84,54,84,74,72,76,80,49,78,73,52,71,53,38,27,71,77,84,86,63,73,53,85,88,57
227,7.422818087,81,86,84,53,83,78,67,73,82,53,79,73,51,69,51,39,25,72,81,86,82,64,75,54,81,91,58
228,7.346962858,83,84,82,52,85,76,71,76,84,55,77,72,52,72,52,38,24,72,76,83,83,65,76,57,80,90,59
229,7.272412711,82,84,82,49,86,72,69,78,79,53,78,70,52,72,53,41,26,70,76,85,80,66,74,59,86,93,58
230,7.199140522,82,83,79,52,86,75,66,76,78,51,77,69,49,67,50,36,30,70,77,83,83,64,73,53,86,96,58
231,7.127119816,83,82,82,49,86,74,70,71,77,54,75,69,51,70,54,38,26,69,73,82,84,65,78,57,86,94,61
232,7.056324741,85,85,82,50,87,78,73,74,76,51,76,71,56,73,52,41,26,73,77,83,85,67,81,56,90,88,61
233,6.986730059,85,83,81,49,85,76,73,77,81,47,81,67,55,73,54,40,30,74,77,81,86,66,76,50,89,92,63
234,6.918311124,82,78,76,51,79,70,70,74,81,52,78,69,50,71,55,40,32,70,71,81,88,66,78,59,90,94,67
235,6.85104387,79,80,75,49,80,70,71,72,74,55,74,74,53,71,50,38,28,71,74,78,86,66,83,59,92,93,68
236,6.784904791,83,79,75,53,83,69,69,74,78,54,80,72,56,70,53,37,28,69,74,78,87,67,76,56,89,95,64
237,6.719870932,84,78,73,53,83,69,70,73,82,48,77,69,53,70,56,34,28,69,73,79,85,65,76,57,86,99,70
238,6.655919872,83,74,73,52,81,69,69,74,78,47,76,69,49,74,51,37,28,74,70,78,84,69,79,52,90,103,68
239,6.593029706,84,73,71,48,75,67,67,74,79,51,76,71,55,71,50,44,29,71,68,77,89,70,79,56,89,100,69
240,6.531179037,83,74,70,44,75,65,70,72,74,54,75,72,54,65,55,42,28,70,71,73,86,70,85,59,87,97,71
241,6.470346961,84,71,73,48,77,68,68,68,73,50,78,68,53,67,57,40,26,71,73,73,90,65,84,59,86,97,79
242,6.410513053,84,68,69,48,77,63,65,70,76,53,75,68,53,67,51,39,26,70,69,79,91,65,82,61,86,96,79
243,6.351657354,83,68,71,47,76,63,62,70,72,54,72,70,53,67,53,37,25,72,71,78,88,63,80,61,90,96,83
244,6.293760361,81,70,71,47,71,66,66,68,70,49,70,68,51,68,50,40,27,72,68,72,87,64,77,59,87,94,88
245,6.236803014,83,70,65,43,74,63,63,71,74,52,72,67,54,73,51,38,28,70,69,74,85,66,78,60,85,92,84
246,6.180766685,80,66,66,44,73,61,60,69,71,53,72,67,55,71,54,39,25,70,68,77,85,71,81,63,89,93,84
247,6.125633164,78,65,64,45,72,66,64,65,70,53,71,67,54,64,52,39,24,72,69,73,81,71,82,63,86,94,83
248,6.071384654,78,64,67,42,70,65,64,64,73,52,72,67,54,68,47,35,27,70,67,71,87,66,80,63,86,91,84
249,6.018003756,74,64,65,40,69,59,59,63,76,47,75,67,54,66,49,37,26,67,66,67,80,68,81,58,86,90,87
250,5.965473458,76,64,58,48,71,55,61,65,73,47,72,66,52,66,50,34,26,70,65,66,86,65,82,64,82,86,90
251,5.913777128,79,62,61,44,67,56,57,65,68,50,65,65,52,68,48,35,23,68,68,67,87,61,81,60,81,88,88
252,5.862898504,76,60,61,40,63,58,60,64,68,48,64,61,49,66,46,41,21,65,67,68,84,66,76,64,81,91,96
253,5.812821683,71,56,59,39,64,58,58,61,67,43,70,56,48,66,47,37,26,67,62,67,85,71,78,67,82,92,99
254,5.763531112,73,56,58,40,63,54,58,60,67,47,66,63,52,65,51,34,28,64,61,66,80,70,80,66,79,90,93
255,5.715011582,76,57,58,36,60,53,57,61,68,43,64,63,52,64,48,31,22,65,62,64,80,65,76,68,79,87,88
256,5.667248215,72,55,54,39,59,55,57,60,66,41,64,60,49,63,46,34,20,64,64,64,86,70,81,65,79,83,95
257,5.620226457,70,51,54,39,59,51,56,60,64,44,63,63,49,61,49,35,26,62,59,65,82,71,80,65,78,85,97
258,5.573932074,71,54,51,36,61,52,51,59,61,45,66,59,51,63,47,34,23,63,62,61,78,65,78,70,75,84,96
259,5.528351137,72,51,49,38,62,54,54,57,57,43,61,60,48,62,45,32,21,63,62,59,76,65,78,58,75,80,93
260,5.483470021,65,48,51,39,60,53,55,56,60,44,64,59,46,64,50,33,23,63,59,63,80,68,79,61,75,79,101
261,5.439275391,70,46,49,37,58,50,51,59,63,43,66,54,47,63,48,34,23,58,57,60,80,68,76,63,73,77,106
262,5.3957542,66,46,48,33,56,49,47,58,60,41,58,56,48,61,44,34,22,58,59,61,80,67,73,68,69,79,103
263,5.352893681,61,47,46,35,55,53,52,52,56,42,57,61,49,60,41,32,21,58,56,64,78,64,74,66,68,80,94
264,5.310681337,62,47,46,34,51,49,49,53,54,44,56,59,48,59,43,30,23,58,57,61,72,69,72,62,70,73,96
265,5.269104938,61,44,47,36,53,45,49,52,58,43,57,56,48,60,45,32,22,55,56,59,70,65,75,63,68,71,94
266,5.228152511,58,44,48,31,56,49,48,53,57,39,58,54,46,62,42,29,18,57,55,54,77,67,80,61,66,75,93
267,5.187812338,60,45,44,29,52,46,49,49,55,37,57,53,46,56,43,30,19,59,52,52,79,66,76,71,66,69,97
268,5.148072943,60,45,43,30,49,42,44,46,55,40,58,49,49,51,43,28,21,55,52,59,74,61,74,67,60,67,89
269,5.108923096,58,44,44,27,43,42,46,50,54,35,54,51,46,55,42,27,18,53,52,58,72,62,74,67,60,67,92
270,5.070351796,59,40,42,29,46,42,48,47,53,36,50,56,44,50,44,27,19,56,50,51,77,62,72,66,59,68,93
271,5.032348274,56,35,42,29,50,44,42,46,50,38,53,52,45,52,40,28,18,54,45,54,74,64,74,65,56,65,93
272,4.994901982,55,39,39,31,44,39,44,47,47,40,54,51,40,51,37,29,18,51,49,54,70,64,80,70,56,64,88
273,4.958002592,52,40,37,28,44,35,40,45,49,37,54,46,41,49,40,28,18,50,49,52,69,59,77,67,56,62,89
274,4.921639986,50,39,38,29,48,36,39,47,51,35,54,50,44,49,38,28,20,52,48,52,66,59,71,70,56,60,85
275,4.885804254,50,34,36,27,43,36,43,44,47,34,48,51,41,51,40,27,21,50,51,48,69,60,68,68,50,55,92
276,4.850485689,52,32,38,27,40,35,42,46,45,34,53,47,39,51,39,26,21,47,49,47,71,59,65,61,56,56,92
277,4.815674781,47,36,41,21,45,39,41,45,46,32,51,43,42,48,34,26,19,51,43,45,67,55,67,67,53,57,90
278,4.781362214,47,35,32,24,43,40,40,41,48,34,46,44,40,47,33,24,19,48,43,46,65,54,67,67,48,60,89
279,4.747538857,46,33,35,30,37,36,37,39,45,33,49,46,41,45,35,28,18,48,43,45,61,56,66,69,46,56,82
280,4.714195765,48,36,37,24,36,34,34,40,45,33,48,43,39,47,35,27,18,48,43,46,66,54,63,69,47,54,85
281,4.681324172,42,36,35,24,40,31,36,38,45,35,42,42,43,43,36,25,20,44,41,47,64,49,63,62,49,53,83
282,4.648915487,40,30,33,23,40,28,36,39,43,33,42,46,42,41,36,23,15,43,37,43,62,51,64,70,45,52,83
283,4.616961289,41,29,31,26,37,32,35,39,40,31,43,47,41,44,33,24,17,43,39,44,56,51,64,73,43,53,81
284,4.585453325,41,29,29,22,37,33,33,36,37,26,39,40,39,41,29,23,18,44,39,43,62,52,60,69,45,51,78
285,4.554383504,43,31,28,16,37,30,34,34,38,29,39,40,38,42,33,25,15,43,38,41,60,50,58,69,44,51,77
286,4.523743895,42,30,28,17,35,29,32,36,40,30,42,41,38,42,33,26,15,43,43,40,61,51,58,71,43,48,79
287,4.493526721,40,30,35,21,35,31,34,37,39,29,42,42,37,40,33,22,17,40,40,41,62,52,58,71,38,47,71
288,4.463724359,37,30,33,23,34,30,36,36,41,30,43,43,35,40,33,22,16,40,35,39,58,48,56,70,38,41,71
289,4.434329331,34,27,26,19,30,28,35,36,41,26,40,40,38,37,28,22,19,40,37,37,61,47,54,68,42,39,75
290,4.405334306,39,24,25,18,33,28,33,37,40,26,38,37,41,38,25,16,15,39,37,38,52,48,56,68,39,43,68
291,4.376732095,38,27,26,18,33,28,31,30,38,25,40,37,35,34,28,16,14,38,37,38,55,51,57,72,39,44,68
292,4.348515645,35,27,28,16,32,29,28,32,38,24,38,37,36,38,28,18,15,40,35,34,61,47,56,69,35,44,65
293,4.320678039,33,25,25,19,32,29,27,35,33,26,40,40,33,37,31,21,16,39,35,33,61,49,53,67,31,43,68
294,4.293212491,35,20,28,19,31,26,30,31,29,24,40,34,35,36,28,23,15,36,34,37,49,46,54,71,35,40,68
295,4.266112346,37,22,30,18,30,28,28,31,35,24,36,36,37,34,26,21,14,35,33,36,51,44,53,73,39,36,64
296,4.239371072,35,27,23,19,25,26,25,30,35,24,34,35,35,33,27,19,15,40,32,28,56,41,51,68,35,38,64
297,4.212982262,35,22,19,16,25,22,26,27,34,21,31,29,37,33,22,22,14,37,28,30,53,41,52,71,34,37,60
298,4.186939628,34,20,21,12,29,22,29,31,31,22,31,28,33,36,23,19,11,31,31,27,53,42,52,69,36,39,56
299,4.161237,33,23,23,16,29,22,27,31,30,23,32,29,32,32,24,17,15,32,33,28,50,40,52,67,34,34,56
300,4.135868323,29,25,24,17,29,26,27,29,31,25,32,30,34,33,29,17,18,32,30,33,48,41,47,72,33,32,55
301,4.110827654,29,23,19,15,26,28,23,26,27,24,33,30,33,33,27,21,18,32,31,34,45,39,49,70,30,33,61
302,4.086109158,29,19,21,14,25,22,23,27,26,25,32,30,33,30,24,18,12,30,28,28,49,40,44,66,28,35,59
303,4.061707109,27,21,22,16,22,22,25,26,33,19,33,26,31,30,25,16,13,29,25,28,44,43,43,74,29,34,52
304,4.037615886,30,20,23,15,23,23,23,27,30,19,30,25,34,28,21,16,13,32,26,28,46,41,44,74,29,32,52
305,4.01382997,29,18,24,17,27,17,23,27,29,22,29,30,34,33,22,18,8,30,29,28,46,37,47,68,28,36,49
306,3.99034394,28,22,20,16,25,22,21,24,30,20,31,30,28,32,23,19,9,29,24,26,45,35,47,69,28,35,53
307,3.967152476,27,21,18,10,21,22,23,23,26,22,31,25,31,25,22,17,13,29,24,26,43,37,44,68,29,31,53
308,3.944250352,25,21,18,12,26,20,19,23,25,21,29,25,32,27,19,14,15,27,22,27,43,39,38,68,29,30,54
309,3.921632436,25,17,20,14,23,20,22,22,28,16,27,26,30,27,17,16,11,28,23,25,43,35,45,73,29,31,46
310,3.899293688,23,16,17,11,21,19,22,24,27,17,27,25,28,24,23,19,8,28,24,26,37,35,44,70,31,29,45
311,3.877229156,23,22,19,12,24,17,22,22,24,20,24,24,27,25,20,16,9,27,23,25,40,36,40,65,28,26,38
312,3.855433977,25,19,25,12,26,17,20,22,24,18,28,26,28,24,18,17,11,26,20,27,37,36,42,67,23,27,40
313,3.833903372,24,14,22,16,19,15,20,22,23,16,28,28,31,24,19,16,14,28,19,27,37,31,44,66,25,28,42
314,3.812632649,22,16,17,18,18,17,21,21,20,20,25,25,30,23,20,15,10,26,24,22,41,31,40,60,23,27,45
315,3.791617194,23,17,17,11,18,15,22,24,21,16,26,24,26,21,21,14,10,24,25,22,35,32,35,65,20,26,42
316,3.770852476,25,16,16,11,23,16,22,19,24,14,27,20,27,27,17,18,10,25,22,24,37,29,39,61,21,23,42
317,3.75033404,19,14,19,12,21,15,20,22,24,15,24,22,27,25,17,15,9,24,21,25,30,29,40,63,23,21,43
318,3.730057509,21,15,18,14,17,17,22,22,24,16,21,20,24,24,18,13,12,25,24,20,35,33,38,63,25,21,33
319,3.710018582,22,15,14,12,17,17,17,19,23,16,21,17,24,28,19,14,10,22,21,17,35,30,35,65,24,22,41
320,3.69021303,24,16,15,10,17,16,16,21,22,14,25,22,26,24,22,21,8,21,21,21,25,26,32,62,15,23,37
321,3.670636695,21,13,16,10,20,18,18,20,21,11,25,23,21,19,17,17,9,20,21,24,31,31,34,58,23,23,37
322,3.651285493,18,13,14,9,22,13,13,18,24,15,23,18,23,22,17,13,9,22,18,24,30,31,36,64,24,22,32
323,3.632155404,14,15,15,10,15,12,15,20,22,18,20,22,25,19,18,13,11,23,23,23,29,26,34,62,21,22,31
324,3.613242479,19,13,14,11,17,14,14,17,19,14,23,23,21,20,14,12,7,21,20,17,35,26,33,59,19,24,34
325,3.594542833,21,14,12,12,19,15,15,16,20,11,19,20,24,17,14,17,9,18,19,17,35,27,33,64,18,23,34
326,3.576052647,20,16,15,11,16,17,14,17,20,13,16,18,22,18,17,15,13,19,19,21,27,29,33,58,17,21,32
