Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0336788	672	354	326	739	310	442	394	598	514	434	481	613	505.63	502	509	1.023	0.033	0.88128592345558	0.97410701452875	0.0337	0.0407
FBtr0336789	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0336790	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0336793	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0336797	117	54	53	202	54	40	69	91	84	119	84	55	83.55	81	86	1.052	0.073	0.851337725518447	0.966855134589626	0.0905	0.0936
FBtr0336798	982	383	411	1030	647	868	575	647	648	605	1003	1204	780.49	623	937	1.448	0.534	0.0144462834069837	0.12693307015155	0.0322	0.033
FBtr0336802	332	28	22	315	22	8	195	47	35	185	34	11	84.48	92	77	0.692	-0.532	0.216826460425882	0.624600195544838	0.102	0.0921
FBtr0336804	71	44	56	81	91	41	42	74	88	48	141	57	74.97	68	82	1.189	0.249	0.534935538001879	0.866964492623735	0.1007	0.0963
FBtr0336805	597	59	77	663	78	75	350	100	121	390	121	104	197.6	190	205	1.052	0.073	0.799515937753147	0.955783391915988	0.0511	0.0661
FBtr0336806	202	49	26	41	37	28	118	83	41	24	57	39	60.4	81	40	0.49	-1.029	0.0351550093709191	0.229250092063018	0.1356	0.0982
FBtr0336809	6037	1919	1899	4836	1640	2175	3538	3239	2996	2843	2543	3017	3029.2	3258	2801	0.861	-0.216	0.199047041603955	0.599913021896929	0.0199	0.0249
FBtr0336810	124	36	24	247	27	24	73	61	38	145	42	33	65.27	57	73	1.105	0.144	0.735996310706016	0.939341837019725	0.1021	0.0972
